Topics,Sub-Topics,Query
Benefits,Kaiser Premium Payment,kaiser premium payment
Payroll,Payslip Inquiry,Help me with pay check
Payroll,Payslip Inquiry,payslip inquiry
Payroll,Off-Cycle Check Issues,off cycle check lock
Manager Tools,Employee Email Information,who would manager speak with regarding an employees email?
Benefits,Mental Health Therapy,Mental health theraphy
Employee Separation,Sick Hour Cash Out,what department is cash out for sick hours?
Benefits,Hospitalization Definition,definition of hospitalization
Forms,Form 3646,WHAT IS FORM 3646
Recruiting & Hiring,Rehire Eligibility,ELEGIBLE FOR REGIRE
Payroll,Pay Integration - KP IT GA,pay integration for KP IT in GA
Benefits,Benefits Reinstatement Post-LOA,what article says about benefits reinstatement upon return from leave opf absence
HR Policies,Bilingual Policies,bi lingual
Document Management,Supporting Documents,supporting documents
Health & Safety,Vaccination Program,vaccination program
Health & Safety,Vaccination Program,Help me with vaccine
Leave of Absence,Vacation for Sick - NCAL UHW,can ncal uhw employees use vacation for pay if sick
Leave of Absence,Medical Leave - A04 Union,provide me details of employees medical leave of absence from a04 union
Leave of Absence,Medical Leave - A04 Union,when does medical leave of absence on labor contract starts for employee part of a04
Leave of Absence,Medical Leave - A04 Union,a20 employee when will medical leave of absence on labor contract will commence
Benefits,Protected Sick Plan,protected sick plan
Pay Differential,Evening Differential Pay,what is evenng differential pay
Modified Duty & Pay Integration,Modified Duty Process,modified duty
Employee Records,NUID Inactive,NUID inactive
Payroll,Expense Reimbursement on Paycheck,where in paycheck you find the expense reimbursement
Leave of Absence,Maternity Leave - Colorado Max Days,COLORADO MATERNITY LEAVE MAXIMUM DAYS
Employee Relations,Reporting Manager Problems,How to report manager problem to employee?
Employee Relations,Reporting Manager Problems,Employee wants to report her manager?
Payroll,Pay Coding,pay coding
FMLA,FMLA Refreshing Time Frame,FMLA refreshing time frame
Leave Accruals,Sick Leave Hours Accrual,SICK LEAVE HOURS ACCRUAL
Leave of Absence,Bereavement Leave - Per Diem,does per diem employee allowed to out for bereavement leave?
Leave of Absence,Bereavement Leave - Per Diem,bereavement for per diem
Leave of Absence,Bereavement Leave - Per Diem,BEREAVEMENT LEAVE FOR PER DIEM EMPLOYEES
IT Support,General IT Support,Help me with IT
Payroll,Add Pre on Payslips,what is add pre on payslips?
Leave of Absence,Paid Leave Oregon,Paid Leave Oregon
Time Off,Military Hours,military hours
Employee Recognition,Anniversary Recognition,15 year anniversary
Benefits,Benefits Reinstatement,When the benefits reinstated?
Disability Management,Disability Case Manager,disability case manager
FMLA,CO FAMLI Eligibility,what is the eligibility criteria for Colorado Family and Medical Leave Insurance Program
FMLA,CO FAMLI Eligibility,what is eligibility requirements for CO FAMLI
Leave of Absence,Medical Leave - Single Day,If employee is taking medical leave for one day
Financial Assistance,Medical Financial Assistance,medical financial assistance
Forms,MSA Form,what is MSA form for ncal employees?
Retirement & Savings Plan,Vanguard Account,Help me with vanguard
Retirement & Savings Plan,Vanguard Account,Help me with vanguard
Employee Records,Employee ID Lookup,where to fine employee id
Compliance,Ethics & Compliance Hotline,ethics and compliance hotline
Compliance,Ethics & Compliance Hotline,ethics and compliance
Software/Application Support,Taleo System,Help me with TALEO
Leave of Absence,Bereavement Leave Timeline,timeline for bereavement
Employee Relations,Domestic Abuse Support,domestic abuse
Badge ID,ID Issuance,How to get an ID
Benefits,General,Help me with TWIN
Badge ID,ID Issuance,How to get a physical ID
Benefits,Life Impact Hours,life impact hours
Badge ID,ID Issuance,Physical ID
Disability Benefits,MetLife Benefit Letter,MetLife Disability Benefit Letter - 7349
Reimbursement,Medical Cost Share,cost share
Reimbursement,Expense Reimbursement Discrepancy,expense reimbursement discrepancy
Document Management,Fax Document Reception,RECEPTION OF FAX DOCUMENTS
Education Assistance,CESLA Information,Help me with cesla
Forms,Form 1480 Revision,revise 1480
Manager Tools,Manager Revision Actions,manager revise
Leave of Absence,Leave Revision - First Day Out,revise first day out
Retirement & Savings Plan,Pension Calculation,pension calculation
Payroll,ACP Payment Schedule,is ACP paid on the third check of the month
Payroll,ACP Payment Schedule,is acp paid on the third check of the month
Employee Relations,Harassment Complaints,who assist harassments complain?
Leave of Absence,Personal Leave Job Protection,is personal leave of absence job protected for b21 employee
Manager Tools,Manager Changes,manager cahnge
Payroll,Merit Pay After Retirement,what happens to merit pay after retirement
Legal & Compliance Issue,Power of Attorney Processing,What is the processing time for power of attorney in NCAL region
Disability Benefits,General Disability,do a colorado employee needs to provide a group number when they file a claim for shor term disability to metlife?
Education Assistance,CESLA Information,Help me with cesla
Manager Tools,Meal Period Change,how does a manager change an employees meal period
Forms,EDD Receipt Submission,where to send the receipt from edd from employee in ncal?
Forms,EDD Receipt Submission,which doctor should a recept from edd should be sent to for Ncal region?
Modified Duty & Pay Integration,Modified Duty Update/Return,How to update Modified Duty?
Job Accommodation,Job Accommodation Update,how to update job acconnodations?
Modified Duty & Pay Integration,Modified Duty Update/Return,How to return from modified duty?
Modified Duty & Pay Integration,Modified Duty Update/Return,how do I return an employee back to regular duty from modified duty?
Retirement & Savings Plan,Pension Earnings - Fidelity,who send the final computation of pension earnings to fidelity
Recruiting & Hiring,Paid Interview Policy,paid in-house interview policy
Recruiting & Hiring,Paid Interview Policy,paid in-house interview polciy
Recruiting & Hiring,Paid Interview Policy,paid in-hours interview policy
Job Classification & Progression,Job Change Process,CHANGE JOB
Forms,Form 1540,Help me with 1540
Training & Development,Per Diem Training Eligibility,per diem training hours eligibility
Training & Development,Per Diem Training Eligibility,per diem training
Payroll,Pay Integration Calculator,pay integration calculator
Benefits,General,Whata is PS3
Benefits,Life Event Benefits,life event
Benefits,Domestic Partner Benefits,domestic partner
Benefits,Domestic Partner Benefits,domestic partner
FMLA,CO FAMLI,Help me with CO famli
Education Assistance,CME Information,Help me with CME
Education Assistance,CME Information,Help me with cme
Forms,CMS LL564 Submission,i am not retired and i am turning 65 and will retire once i turned 65 is it okay to submit the cms ll564 priior to my retirement date?
Forms,EDD Questionnaire Hours,EDD questionnaire hours
Forms,EDD Questionnaire Hours,edd hours worked
Benefits,Dependent Personal Information,dependent personal
Job Classification & Progression,Non-Union Employee Transfer,How long does a non-union employee has to be from being hired to be qualified to transfer to another department?
Benefits,HMO Plan Information,Help me with HMO PLAN
Payroll,General Pay Integration,pay intergration
Leave of Absence,Intermittent Leave Pay,INTERMITTENT leave pay
Leave of Absence,Intermittent Leave Pay,Help me with INTERMITTENT
HR Policies,Condition of Employment,how to find condition of employment
Employee Recognition,Retirement Gift Eligibility,retirement gift eligibility
HR Policies,Contact Information,lisa clawson contact
Insurance & Benefits,Professional Liability Insurance,What is professional liability insurance?
Insurance & Benefits,Professional Liability Insurance,professional liability insurance.
Reimbursement,RN Certification Reimbursement,How do I request a RN certification reimbursement?
Payroll,Pay Calendar,pay calendar for NCAL
Leave of Absence,Paternity Leave,Help me with paternity
Manager Tools,Line Manager Actions,remove line manager
Employee Separation,Deceased Employee Procedures,deceased employees
Employee Separation,Deceased Employee Procedures,passed away employees
Employee Separation,Deceased Employee Procedures,passed employees family calling
FMLA,CO FAMLI,Help me with CO FAMLI
Employee Relations,Workplace Harassment,Workplace harassment
Request,Administrative Request,administrative request
Benefits,Life Insurance Beneficiary,what happen if employee does not elect a beneficiary on their life insurance?
Benefits,Life Insurance Beneficiary,what will happen if employee did not elect a beneficiary to their life insurance?
Employee Separation,Probationary Period,probationary period
Medical Records,Doctor's Note Requirements,new leave from a different doctor's note
Medical Records,Doctor's Note Requirements,is it required to provide a doctor's note for CESLA leave?
Payroll,Pay Calendar,May calendar
Payroll,Pay Calendar,Pay calendar for the month of May SCAL region
FMLA,FMLA Benefits Protection,does fmla protecting all benefit of this ee
Disability Management,General,disability management
Legal & Compliance Issue,Virginia Parental Law,virginia parental law
Labor Relations,Union Labor Contract,UHW Med Social Workers labor contract
Labor Relations,Union Labor Contract,SEIU UHW Med Social Workers labor contract
Forms,R1 Form,what is R1 form
Employee Records,Person Number,PERSON NUMBER
Employee Records,Person Number,PROVIDING PERSON NUMBER
Education Assistance,National Tuition,National Tuition
Payroll,Holiday Coding,coding for holiday
FMLA,FMLA Continuous Leave Processing,how long does it take to process fmla continues leave for MAS?
State Disability Insurance,SDI Application Eligibility,can the employee apply on state disability insurance if they are on a medical leave for intermittent FMLA?
State Disability Insurance,SDI Application Eligibility,can the employee apply to SDI if they are in intermittent?
Retirement & Savings Plan,Retirement Date Change,change retirement date
Paid Family Leave,PFL Contact Information,paid family leave number
Paid Family Leave,PFL Contact Information,pfl number
Travel,Travel Policy/Line,travel line
Benefits,Long Term Care,Long Term Care
Time Off,Professional/SPA Hours Usage,Professional hours
Time Off,Professional/SPA Hours Usage,Where can the EE use the professional hours?
Time Off,Professional/SPA Hours Usage,Can EE use the professional hours or SPA hours during school events?
Benefits,Premium Care,premium care
Jury Duty – Process & Pay,Jury Duty Policy,jury duty policy
Time Off,NUHW Professional Time,NUHW professional time
Jury Duty – Process & Pay,Jury Duty Request/Pay,how long an employee can request for jury duty
Jury Duty – Process & Pay,Jury Duty Request/Pay,is there a limited time an employee can request for jury duty?
Jury Duty – Process & Pay,Jury Duty Request/Pay,how long an employee will be paid for jury duty
Jury Duty – Process & Pay,Jury Duty Request/Pay,period that are only for jury duty
Employee Records,Personal Data Change,persona dat change
Leave of Absence,Medical Leave - Sick Leave,medical leave sick
HR Policies,HR Contact Information,Help me with HRC
HR Policies,HR Contact Information,Help me with H
HR Policies,HR Contact Information,Help me with local HRC
Employment Status,On-Call vs Part-Time,difference vs oncall and partime
Compliance,Compliance Hotline,compliance hotline
HR Policies,ESL Rules,Help me with esl rule
HR Policies,ESL Rules,Help me with esl
Time Off,Leave Authorization,vac eto authorization
Time Off,Leave Authorization,sick authorization
Forms,Medical Leave Release Form,release form for medical leave
Payroll,Holiday Pay - UHW On-Call,holiday pay for UHW on-call employees
Payroll,Holiday Pay - UHW On-Call,holiday pay for UHW for on-call
Payroll,Hours Worked Processing Time,processing time of hours worked case
Pay Differential,Pay Rate - Step 2 B01,rate of step 2 B01 group
Employee Relations,Paid Suspension,PAID SUSPENSION
Payroll,Pay Calendar - Southern CA,PAY CALENDAR FOR SOUTHERN CAL
Forms,Form 1510,Help me with 1510
Employee Separation,Return to Work Process,Return to Work
Employee Separation,Post-Separation Letter,how to get letter pos separation
Payroll,IRS Lock Letter Update,how much time it will take to update an IRS lock letter
Recruiting & Hiring,Talent Acquisition Team,talemt acquisition team in NCAL
Retirement & Savings Plan,Retirement Form Submission,SUBMISSION OF RETIREMENT FORM
Retirement & Savings Plan,Retirement Form Submission,SUBMIT RETIREMENT ONLINE
Job Classification & Progression,Salaried Position Definition,what is a salaried position?
HRConnect,Directory List,Can you show me the directory list from HRConnect?
Recruiting & Hiring,Talent Acquisition Contact,What is the contact number of talent acquisition?
Payroll,Holiday Pay,holiday pay for B01
Retirement & Savings Plan,Vanguard Account,how to elect vanguard
Labor Relations,Union Rep Contact,How to reach out to their union rep in SCAL region?
Labor Relations,Union Rep Contact,how does scal reach out to their union
Labor Relations,Union Rep Contact,how does southern california employee reach out to their union?
Job Classification & Progression,Job Status Change,JOB STATUS CHANGE
Modified Duty & Pay Integration,Modified Duty Process,how does modified duty work?
Modified Duty & Pay Integration,Modified Duty Process,what is modified duty?
Education Assistance,Educational Funds,educational funds
Reimbursement,Medical Cost Share,1500 for condition not related on the condition of the existing medical loa
Reimbursement,Medical Cost Share,cost share
Reimbursement,Medical Cost Share,non related health issue for existing medical leave
HR Policies,HR Contact Information,hr different number
Benefits,COBRA Rates,"cobra rates for medical and dental of Maui Health System, (AHCU) S03 United Nurses Associations of California"
Benefits,COBRA Rates,can you provide the cbra rates for medical and dental?
Benefits,BAH Calendar/Start,bah calendar
Time Off,Time Off Hours,time off hours
HR Policies,Local HR Contact,LOCAL HR SOUTHERN
HR Policies,Local HR Contact,LOCAL HR SPUTHERN
Benefits,BAH Calendar/Start,effective date of BAH
Benefits,BAH Calendar/Start,when does BAH begin
Payroll,Salary Advance,SALARY ADVANCE TIMEFRAME?
Payroll,Salary Advance,WHEN IS A SALARY ADVANCE PAID?
State Disability Insurance,SDI Phone Number,SDI phone number
Pay Differential,Step Increase,step increase
Payroll,Overpayment Resolution,why overpayment case still draft after repayment
Payroll,Overpayment Resolution,why overpayment case still shows draft after employee paid via credit card
Benefits,Cardio Credit,cardio credit for dental benefits in washington region
Need Assistance,General Assistance,Help me with cardio
Communication Tools,Foreign Language Support,foreign language
Benefits,Cardio Credit,cardio credit
Benefits,Cardio Credit,cardio credit
Benefits,Cardio Credit,cardio credit for washington
Benefits,Medical Plan Comparison,why the medical plan under program offices is higher than her current KEMHP Medical high plan under NCAL Flex Non Union?
Need Assistance,General Assistance,Help me with ssvoe
Leave of Absence,Sabbatical Leave,Help me with sabatical
Leave of Absence,Family Care Leave,family care
Payroll,General Payroll,double pay third weekend
Payroll,General Payroll,do colorado employees get evening differential when they use their vacation?
Request,General Request,how to cancel rws?
Request,General Request,how to cancel rws
Benefits,Prudential Benefits,Help me with Prudential
Benefits,Dependent Care FSA,how to cancel dependent care FSA
Benefits,Dependent Care FSA,dependent care
Leave of Absence,Personal Leave,personal leave
Medical Records,Medical Correspondence,Medical correspondence
Time Off,Return After Holiday,return after holiday
Company Information,California Call Center Office,CALIFORNIA CALL CENTER OFFICE
Social Security Disability,SSDI Awards,where can i get ssdi awards?
Social Security Disability,SSDI Awards,SSDI awards
Education Assistance,Ben Hudnall Program,Ben Hudnall
Education Assistance,Ben Hudnall Program,ben hudnall program
Social Security Disability,SSDI Awards,what is ssdi award
Recruiting & Hiring,Applicant Status,internal applicant
Contact Information,General,what is the telephone number to physicians benefits for colorado?
HR Policies,Local HR Contact,southern california local hr
HR Policies,Local HR Contact,local hr southern
State Disability Insurance,SDI Payment Status,how to check when sdi payment will end for NCAL region?
Employee Separation,Termination Procedures,termination notice
Payroll,Holiday Pay,Holiday pau
Disability Benefits,Short/Long Term Disability,how can an employee in ncal region get his minimum payment from kaizer to continue his short termor long term disability?
Disability Benefits,General Disability,monthly disability plan
State Disability Insurance,SDI Application Eligibility,Help me with ca sdi
Job Accommodation,Work Restriction,work restriction denied by manager
Medical Records,Doctor's Note Requirements,is the medical certification for job accomodation request in northwest need rto be from a MD?
Need Assistance,General Assistance,Help me with externship
Training & Development,Externship Program,externship program
Retirement & Savings Plan,Retirement Savings Withdrawal,retirement savings withdrawal
Retirement & Savings Plan,Retirement Savings Withdrawal,withdrawal of retirement savings upon retirement
Temporary Disability Insurance,TDI Retroactive Pay,does tdi retroactive those days that the employee is unpaid/
Temporary Disability Insurance,TDI Retroactive Pay,does tdi will retro pay those days that is already unpaid?
Paid Family & Medical Leave,PFML Claim Status,how to informed WA PFML claim status that they received an overpayment case
Medical Records,Doctor's Note Translation,where to view translation language in doctors note
Leave of Absence,Leave Conversion,conversion of vacation to sick
Contact Information,General,what is the contact information for local HR in oakland?
Contact Information,General,what is the number for oakland california local HR
Contact Information,General,what is the number for oakland HR
Contact Information,General,number for oakland HR
Contact Information,General,oakland HR
Request,General Request,where can we request for the certificate of change?
Employee Separation,Vacation/Sick Hour Cash Out,can the employee cash out her vacation and sick hours once she resigned to work?
Payroll,Per Diem Policies,Help me with per diem
Payroll,Per Diem Policies,does per diem employees need to submit leave of absence
Leave of Absence,Leave Frequency & Duration,FREQUENCY AND DURATION
Leave of Absence,Administrative Leave,administrative leave
Benefits,Benefits Interruption,benefits interruption
Time Off,Flexible Personal Day,fexible personal day
Payroll,Overtime Pay,overtime pay but log out early
Scheduling,Modified Schedule Coding,"employee is on modify schedule and took eto for two dys, is it ok to add eto in the coding?"
MFA,Ping ID,ping ID with new phone
Leave of Absence,State Leave Benefit Renewal,Does state leave benefits renew after a year?
Leave Accruals,Sick Time Deposit,sick time deposit
Leave Accruals,Sick Time Deposit,Deposit of leave
Benefits,OPT Usage,Help me with opt usage
Job Classification & Progression,Job Title Information,Help me with job title
Job Classification & Progression,Job Title Information,Help me with title
Leave of Absence,Bereavement Leave,Can employee attend a bereavement leave for the grandparent of her partner?
Employee Relations,Patient Advocate,Patient Advocate
Communication,Public Comment Policy,when to make a comment public
Case Management,Case Notation,how to notate cas
Need Assistance,General Assistance,Help me with 10289
System Status,Subscription/Service Status,sub status and
PSL,Eligibility,PSL CA ben eligible
PSL,Eligibility,PSL CA ben
Recruiting & Hiring,Onboarding,Help me with new hirwe
Recruiting & Hiring,Onboarding,on boarding
Trans Pass,Trans Pass,what is trans pass?
Recruiting & Hiring,External applicant process,external applicant
Modified Work,Modified Work,Modified work.
Modified Work,Modified Work,What is Modified work
Payroll,Modified duty definition (payroll),What is modified duty?
Payroll,Modified duty process (payroll),How the modified duty works?
Pay Differential,Modified work duty application,How to apply modified work duty
Payroll,General pay integration,pay integration
HCSA,Copayment assistance,Help me with copayment
Leave of Absence,Colorado personal leave,Colorado Personal Leave of Absence
W2,W2,SEND W2 BY EMAIL?
Employee Separation,Termination letter,termination Letter
Benefits,PSL balance for benefited KP employees,what happens to an employee's PSL balance once they become benefited at kp?
Forms,Specific form assistance (DWC-1),Help me with dwc-1
Leave of Absence,Washington LOA request process,what is the process of requesting a leave of absence for washington region?
Benefits,LTD for family care,can an employee use long term disability benefits to care for a family member?
Metlife,Metlife definition,What is metlife?
Credit Union Services,AFLAC definition (Credit Union context),What is AFLAC?
Benefits,LTD compensation percentage,what percentage of an employee's base pay does long term disability (LTD) compensate for when integrated with other income?
Benefits,LTD compensation percentage,what percentage of an employee's base pay does long term disability (LTD) compensate for when integrated with other income?
FMLA,AFLA assistance,Help me with AFLA?
Benefits,LTD compensation percentage,what is the percentage of the base pay does long term disability compensate for when integrated with other income?
Benefits,LTD compensation percentage,what percentage of an employee base pay does long term disability compensate for when integrated with other income
Pay Differential,LTD compensation percentage,what percentage of an ee base pay does LTD compensate for when integrated with other income?
Leave of Absence,NCAL employee bereavement leave,bereavement leave for ncal employee
Employee Separation,NCAL workers' comp last pay info,where can an employee from northern california see when will be their last pay of worker's compensation?
FMLA,Oregon Military Family Leave eligibility hours,how many hours per week must an ee work to be eligible for oregon military family leave
Leave of Absence,Washington PFML eligibility & duration,what are the eligibility requirements for the washington paid family & medical leave program and how long can employee take leave?
Forms,Form 1452 submission via email,how to send 1452 via email
Performance Reviews,Credit Evaluation Request turnaround,what is the turnaround time for Credit Evaluation Request
Legal,Legal name/status changes,legal change
Forms,Specific form assistance (Form 3500),Help me with 3500
Need Assistance,Kaiser Permanente assistance,Help me with kaizer
Employee Separation,CA SDI return to work timeline,How long must a California employee return to work before a new SDI claim would begin if the employee goes back out?
Forms,Form 1480 revisions,1480 revision
Forms,Form 1480 revisions,1480 revisiom
Employee Separation,CA SDI return to work timeline,How long must a California employee return to work before a new SDI claim would begin if the employee goes back out?
Pay Differential,NCAL UHW LTD compensation,How much will long term disability compensate for NCAL UHW?
Pay Differential,NCAL UHW LTD compensation,How much will LTD compensate for NCAL UHW?
Pay Differential,NCAL UHW LTD compensation,How much will LTD compensate for NCAL UHW?
Recruitment & Hiring,Work location changes,work location change
Legal,Supporting documents (legal),supporting documents
Payroll,Military duty pay/leave adjustments,military duty adjustment
Employee Separation,Payslip mailing expediting,expedite mailing process for payslips
Employee Separation,Benefit continuation payment on separation,benefit continuation payment
Payroll,Military duty adjustment payroll,what is the military duty adjustment?
Pay Differential,Life work balance hours usage,Where they can use the life work balance hours?
Training & Development,Life work balance usage,Where the EE can use the life work balance?
Leave of Absence,Life balance time for caregiver leave,Can the ee use her life balance time during care giver leave?
Travel/Compensation,Mileage reimbursement,mileage pay
Travel/Compensation,Mileage reimbursement,milage pay
Recruitment & Hiring,Dual work locations,is it possible tow work in 2 location within the same region?
HR Policies,Non-union employee labor contract policy,non union employee labor contract
Benefits,Non-union employee labor contracts,do non union employees have a labor contract?
Employee Relations,General employee relations,Employee Relations
Employee Relations,General conflict of interest,conflict of interest
FMLA,Job protection after FMLA denial,job protection for FMLA denied
FMLA,NCAL CNA job protection without FMLA,job protection without FMLA for NCAL employee CNA
IT Issues,Technical assessment issues,technical issues with assestment
Recruitment & Hiring,Requisition activation,activate requisition
Recruitment & Hiring,Position activation,activate position
Forms,Form 6363-D,what is 6363d form
Employee Records,EDD Form 6363-D,6363 - d form from EDD
Leave of Absence,MAS Maryland Flexible Leave Act intermittent use,can MAS employee take the maryland flexible leave act intermittently
Forms,Form 6363-D,Help me with 6363 D
Leave of Absence,Maryland Flexible Leave Act intermittent use,maryland flexible leave act can be taken intermittently
Employee Separation,SDI claim deadline,sdi claim deadline
Employee Separation,CA SDI application deadline,until when ca employees can apply for sdi?
Employee Separation,Termination letter,termination letter
PLO,PLO definition,what is PLO?
PLO,PLO definition,what is PLO
Systems/Integration,System integration (PLO & Kaiser),does plo integrate with kaizer?
Credentialing & Certification,Authorization assistance,Help me with authorization
HR/Workplace,Volunteer programs,Help me with Volunteer
Invalid,Invalid,tucker time
Employee Records,P drive access form,What form is needed in order to give access to P drive?
Leave of Absence,Birthday Leave,birthday holiday
Performance Reviews,2008 C letter information,what is 2008 C letter?
Performance Reviews,Publication 15 information,what is publication 15?
Leave of Absence,Vacation payout for status change,cashing out vacation hours after switching as a per diem from full time employee
Employee Records,Social Security Number (SSN),Social security number
Recruiting & Hiring,Call center hiring,call center
Finance/Accounting,Timekeeping and cost centers,cost center in time
Finance/Accounting,Timekeeping and cost centers,cost center
PTO/Vacation Accruals,MAS vacation bidding,vacation bidding in MAS
Timesheet & Attendance,Absence tracking/reporting,absence radar report
Payroll/Compensation,Retroactive pay for evening shifts,RETRO CONCEPT EVENING
Retirement & Savings Plan,Vanguard employment status,Vanguard employment status
Employee Relations,Harassment reporting,how to report harassment
Employee Separation,Unpaid benefits on termination,unpaid benefits terminatiomn
Employee Separation,Severance impact on retirement,WHAT IS THE IMPACT OF SEVERANCE ON RETIREMENT?
FMLA,EIB usage in intermittent family care FMLA,using of EIB in intermittent family care
Employee Separation,NCAL bonding leave transition timing,when is the best time for an employee to transition to bonding for NCAL region?
Pay Differential,ACP enrollment and sick leave hours,what will happen to my sick leave hours if I enroll to acp
Leave of Absence,ACP election and sick leave hours,"I am thinking to elect ACP during OE for next year, what will happen to my sick leave hours?"
FMLA,Bereavement Leave,reproductive loss
Benefits,Sponsored employee benefits,sponsored employee benefits
Legal,Personal data (legal context),personal data
Employee Records,Manager access to inactive employee address,how can manager get address for inactive employee
Pay Differential,Workers' comp for emotional distress,worker's compensation cover emotional distress?
Leave of Absence,Mid-Atlantic LOA withdrawal approval,who approve Mid Atlantic state leave of absence withdrawal
PTO/Vacation Accruals,On-call vs. per diem choice,when to choose on call vs. per diem
Benefits,Anniversary pay rates during medical leave,"If on medical leave, do you not get Anniversary pay rates"
Recruiting & Hiring,Recruitment number information,recruitment number
Pay Differential,Scheduled hours pay,scheduled hours
Pay Differential,Job shadowing pay differential,job shadow
Benefits,GAP insurance definition,What is GAP insurance?
FMLA,Mental health leave FMLA points,mental health leave points
Health/Well-being,Mental health resources,mental points
Leave of Absence,Mental health Leaves,mental points
Leave of Absence,Mental health Leaves,mental leave points
Leave of Absence,Berevement Leave,medical leave on top of bereavement leave
PTO/Vacation Accruals,Per diem vs. on-call usage,when to use per diem vs on call
Benefits,Per diem vs. on-call benefits,per diem vs on call
Recruiting & Hiring,Internal applicant process,internal applicant
Recruiting & Hiring,Internal/external applicant process,internal external applicant
Leave of Absence,NCAL post-back sick vs. sick hours,What is the difference between post back sick and sick hoours in NCAL region?
Benefits,Flex Credits,what will happen to the excess flex credits?
HCSA,Kaiser Living Trust offering,Is kaiser still offering Living trust?
Employee Separation,Paystub access during severance,download paystubs while on severance
Pay Differential,BAH impact on average hours/workload,If employee's average hours are adjusted due to BAH would the employee be required to work the new standard hours
Retirement & Savings Plan,Life insurance information,life insurance
Retirement & Savings Plan,Life insurance information,life insurance
Education Assistance,Educational hours details,educational hours
Payroll,Federal Income Tax (FIT) withholding,FIT Withheld
HCSA,Colorado primary care HCSA,COLORADO PRIMARY CARE
HCSA,Regional primary care HCSA,REGIONAL PRIMARY CARE
Recruiting & Hiring,Job conversion process,job conversion
Forms,Form 3491,Help me with 3491
Leave,Colorado Family Leave (FAMLI),CO FAMLI 12 weeks
Leave,Colorado Family Leave (FAMLI),co famli 52 week
Forms,Form 1422 assistance,Help me with 1422 form
Employee Separation,Termination reassignment,termination reassignment
Employee Records,Cross-manager document access,access documents from other manager
Employee Records,Manager vendor NUID check,how can a manager check the nuid of a vendor?
Union/Labor Relations,Union agreements/contracts,NCAL LMP UNION NON FLEX
Union/Labor Relations,Union agreements/contracts,NCLA LMP UNION NON-Flex
Pay Differential,Weekend pay differential,weekend differential
Payroll,Non-payroll payment definition,What is non payroll payment?
Payroll,Non-payroll payment definition,What is nonpayroll payment?
Pay Differential,Conflict of interest for outside work,Is there a conflict of interest if I choose to work part-time outside of Kaiser?
Payroll,IRS Compliance Unit payroll,IRS Compliance Unit
Legal,Personal data changes (legal context),personal data chane
HCSA,HRA earmark bank,HRA earmark bank
Payroll/Payments,Overpayment recovery,Overpayment recurperate
Payroll/Payments,Overpayment resolution,Help me with overpayment
HCSA,Medical card information,medical card
Benefits/Insurance,MetLife website information,what is the website for metlife?
IT/Systems,Password reset,ping ID password reset
Benefits,Dependent eligibility,I am from Mid Atlantic States can I add my grandchild to my benefits?
Payroll/Payments,Unclaimed/Escheated checks,Help me with Escheated
Payroll/Payments,Unclaimed/Escheated checks,Escheated check
Payroll/Payments,Direct deposit issues,Direct deposit refund
Reimbursement,Refund assistance,Help me with refund
Legal,Legal file requests,file request
Pay Differential,Anniversary pay raises,raised on pay during the anniversary date
HR/Workplace,Sexually Transmitted Infection (STI),calls for sti
Compensation,Non-union pay increases,non-union increase
Employee Records,TSA plan administrator information,TSA plan administrator
Employee Separation,SCAL bonding leave filing timeline,How soon can an employee in SCAL region file for bonding?
Employee Separation,SCAL bonding leave filing timeline,When can an employee in scal region file for bonding?
Modified Duty & Pay Integration,Modified work definition (payroll context),What is modified work
Employee Records,Modified work records,modified work
Modified Duty & Pay Integration,Modified work general,Modified works
Pay Differential,Schedule flexibility & pay,schedule flexibility
Pay Differential,Pay implications of modified work,What will happen of the days that I'm not working during modified works.
HR/Employee Records,Employee personal files,personal file
Legal,Legal file requests,file request
HR/Workplace,Modified work arrangements,How the modified works?
Leave of Absence,Sabbatical leave information,sabbatical leave
Forms,Form 3630 definition,what is 3630 form?
Payroll/Leave,Accrual adjustments,reassesment of accruals
Payroll/Leave,Accrual adjustments,reassesmentof accruals
Reimbursement,TDI claim filing,how to file a claim for tdi?
Recruiting & Hiring,SCAL hiring team,hiring team in SCAL
Recruiting & Hiring,Internal applicant process,internal applicant
Security/Access,Unauthorized access,Non authorize
Compliance,CFR compliance assistance,Help me with cfr
Employee Relations,Pay advice request form mailing,Where should I mail my pay advice request form
Payroll/Payments,Last check information,Help me with LAST CK
Pay Differential,HRConnect day off entry (Colorado),how to put day off in hrconnect in the colorado?
Pay Differential,Modified duty request process,how to request for a modified duty
Pay Differential,Modified duty request process,how to request to be on modified duty
Leave of Absence,Manager not recognizing doctor's note,the employee's manager not recognizing doctor's note for 2 day out of work
Leave,Military leave,military drill
Employee Separation,Draft telecommuting agreement,telecommuting agreement in draft mode
Employee Relations,Doctor's note submission policy,doctor's note submission
Pay Differential,NCAL ESL eligibility with modified schedule,Is ncal employee eligible for ESL under modified work schedule?
Pay Differential,Per diem pay rates,per diem pay
PTO/Vacation Accruals,Per diem & PTO/vacation,Help me with per diem
Compensation/Travel,Per Diem payments,Help me with per deim
Reimbursement,Tutoring class reimbursement,tutoring class reimbursement
Employee Records,Per diem employee records (typo corrected),Help me with per deem
FMLA,FMLA tuition reimbursement,fmla tuition reimbursement
Pay Differential,Manager's role in shift bidding,Is shift bidding handled by manager?
